time,assay,95% LCI,95% UCI,95% LPI,95% UPI
3.0,98.95170382172516,98.7376818383812,99.09562203712777,98.44976984523177,99.46000541171765
3.1515151515151514,98.91215884643307,98.70680491471505,99.0429278040723,98.40857370953033,99.41765996840316
3.303030303030303,98.87279283508309,98.67488507903956,98.99779896276843,98.3677234942801,99.37568587120525
3.4545454545454546,98.83360424543365,98.64118627255436,98.95310900158115,98.32720605026721,99.33407005605203
3.606060606060606,98.79459155479289,98.60835419435338,98.9106705224843,98.28700922548747,99.29280045451624
3.757575757575758,98.75575325969209,98.57549236155802,98.87017426203909,98.24712174853533,99.25186587717462
3.909090909090909,98.71708787556598,98.5424917483147,98.83170551194854,98.20753313023249,99.21125591520692
4.0606060606060606,98.67859393643951,98.50780558875391,98.79360828374347,98.16823357920008,99.17096085593899
4.212121212121212,98.64026999462116,98.47338499331099,98.75530075228772,98.12921393038297,99.13097161133851
4.363636363636363,98.60211462040246,98.43816201078852,98.71882391883139,98.09046558289782,99.09127965583463
4.515151515151516,98.56412640176369,98.39919352354129,98.6816257074492,98.0519804462356,99.05187697249269
4.666666666666667,98.5263039440854,98.35863508259813,98.64383336790385,98.013750893593,99.01275600631837
4.818181818181818,98.48864586986593,98.32186398500171,98.60760632979577,97.97576972069675,98.97390962305491
4.96969696969697,98.45115081844459,98.28425290532373,98.57134386444667,97.93803010939767,98.93533107275103
5.121212121212121,98.41381744573029,98.24872508668054,98.53478750693135,97.90052559632188,98.89701395838598
5.272727272727273,98.37664442393559,98.21113095891405,98.49888619432447,97.86325004365345,98.8589522066272
5.424242424242424,98.33963044131616,98.16932032744555,98.46331696716005,97.82619761452663,98.82114004319764
5.575757575757576,98.3027742019154,98.13113427144205,98.42670523007016,97.78936274983768,98.7835719696635
5.7272727272727275,98.26607442531386,98.09332747611047,98.39052035740106,97.75274014816627,98.74624274333213
5.878787878787879,98.2295298463839,98.05435517010962,98.35468813591713,97.71632474753868,98.70914735899238
6.03030303030303,98.19313921504893,98.01514003011624,98.31926776392449,97.6801117085156,98.67228103198005
6.181818181818182,98.1569012960475,97.97864231956632,98.28354903059571,97.64409639951393,98.63563918347828
6.333333333333334,98.1208148687018,97.94429765206525,98.24826901716894,97.60827438311192,98.59921742680184
6.484848484848484,98.08487872669085,97.90413202422269,98.2129282289108,97.57264140340713,98.56301155473484
6.636363636363637,98.0490916778279,97.86520241769544,98.17760860716305,97.5371933750527,98.52701752854766
6.787878787878788,98.01345254384218,97.82648185698274,98.1423383114563,97.50192637261863,98.49123146733963
6.9393939393939394,97.9779601601648,97.78960248461341,98.10719443145649,97.4668366211774,98.45564963860667
7.090909090909091,97.94261337571872,97.75061000782128,98.07209597154686,97.43192048745392,98.4202684493742
7.242424242424242,97.90741105271283,97.71293357746235,98.03693970300793,97.39717447212954,98.38508443848482
7.3939393939393945,97.87235206643969,97.67776790185006,98.00181814005944,97.36259520188109,98.35009426862193
7.545454545454546,97.83743530507735,97.63976598847267,97.96636536834528,97.32817942293345,98.31529471984747
7.696969696969697,97.8026596694947,97.60422432150443,97.9307120381855,97.29392399432824,98.28068268285703
7.848484848484849,97.76802407306054,97.5713740973367,97.89538714993208,97.25982588280306,98.24625515384594
8.0,97.73352744145625,97.53785035405214,97.86001744663157,97.22588215626192,98.21200922796774
8.151515151515152,97.6991687124918,97.5031240951464,97.82490904935858,97.19208997943016,98.1779420949778
8.303030303030303,97.66494683592533,97.46984818247006,97.79090194615952,97.1584466088242,98.1440510341928
8.454545454545455,97.63086077328602,97.43606601995054,97.75629464672154,97.12494938844196,98.1103334101717
8.606060606060606,97.59690949770007,97.40168569973486,97.72088214852063,97.09159574546237,98.07678666840684
8.757575757575758,97.56309199372009,97.37001399626413,97.68681451281353,97.05838318664014,98.04340833171098
8.90909090909091,97.52940725715747,97.33872130318937,97.6533643253429,97.02530929447211,98.01019599637705
9.06060606060606,97.49585429491772,97.30737175280667,97.61869662528606,96.99237172378552,97.97714732876078
9.212121212121211,97.4624321248391,97.27563783559492,97.58501346272027,96.95956819878805,97.9442600623257
9.363636363636363,97.42913977553371,97.24396363420816,97.55161404422546,96.92689650979428,97.91153199436603
9.515151515151516,97.39597628623194,97.21153800846662,97.51837447802986,96.89435451055263,97.87896098333059
9.666666666666668,97.36294070662927,97.18005135024039,97.48460676277335,96.86194011555523,97.84654494613062
9.818181818181818,97.33003209673608,97.1493914431057,97.45064733820368,96.82965129764423,97.81428185574524
9.969696969696969,97.29724952673001,97.11877860012252,97.41674363724717,96.79748608544654,97.782169738656
10.121212121212121,97.26459207681101,97.0883926076079,97.38288390284787,96.76544256132037,97.75020667279442
10.272727272727273,97.23205883705896,97.05836969635466,97.34901428192802,96.73351885905461,97.7183907852432
10.424242424242426,97.19964890729358,97.02810446100948,97.31517490844324,96.70171316213273,97.68672025050282
10.575757575757576,97.16736139693721,96.99735468399939,97.28202812486823,96.67002370173579,97.65519328849835
10.727272727272727,97.13519542487965,96.96704035889583,97.24949418290292,96.63844875474233,97.62380816258413
10.878787878787879,97.10315011934539,96.93782628472998,97.21538341661629,96.60698664235193,97.5925631781727
11.030303030303031,97.07122461776335,96.90901293501787,97.18245369083002,96.57563572837483,97.56145668103122
11.181818181818182,97.03941806663873,96.88000875392777,97.15086868844797,96.54439441745971,97.53048705551659
11.333333333333334,97.00772962142702,96.85212716562309,97.11792291152288,96.51326115399327,97.49965272348346
11.484848484848484,96.9761584464103,96.8240439623874,97.08593955748042,96.48223442053755,97.46895214273091
